,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
732,E00023680,56.725,7.719,10.117,7.31,9.357,8.772,56.725,7.719,10.117,7.31,9.357,8.772
733,E00023937,55.202,5.905,11.747,10.488,11.578,5.08,55.202,5.905,11.747,10.488,11.578,5.08
734,E00023478,47.661,6.704,9.688,16.169,14.053,5.724,47.661,6.704,9.688,16.169,14.053,5.724
735,E00175267,50.276,7.049,9.151,19.257,8.811,5.456,50.276,7.049,9.151,19.257,8.811,5.456
736,E00023793,53.938,10.653,7.952,8.852,12.078,6.527,53.938,10.653,7.952,8.852,12.078,6.527
737,E00023712,63.087,6.38,7.968,5.727,11.142,5.696,63.087,6.38,7.968,5.727,11.142,5.696
738,E00023976,51.763,11.713,9.068,13.161,8.627,5.668,51.763,11.713,9.068,13.161,8.627,5.668
739,E00023646,53.102,7.891,9.281,10.16,13.646,5.918,53.102,7.891,9.281,10.16,13.646,5.918
740,E00023621,53.201,6.439,10.511,11.742,12.955,5.152,53.201,6.439,10.511,11.742,12.955,5.152
741,E00024079,43.82,16.907,9.096,12.413,11.557,6.207,43.82,16.907,9.096,12.413,11.557,6.207
742,E00023652,50.241,8.249,9.781,11.254,14.475,6.0,50.241,8.249,9.781,11.254,14.475,6.0
