,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
313,E00023748,23.0,£1m - £1.25m,1079000.0,967666.667,81915000.0
314,E00023749,20.0,£1m - £1.25m,923750.0,847500.0,57042250.0
315,E00023750,26.0,£2m - £3m,2252500.0,1988000.0,173597500.0
316,E00023751,24.0,£1.25m - £1.5m,1700000.0,1359500.0,106279000.0
317,E00023752,21.0,£1.5m - £2m,1240000.0,1104000.0,76695000.0
318,E00023753,20.0,£1.5m - £2m,1136666.667,1044000.0,50794000.0
319,E00023754,13.0,£326K - £350K,415000.0,363000.0,18817000.0
320,E00023755,28.0,£4m - £5m,3804400.0,2846400.0,127152800.0
321,E00023756,16.0,£401K - £450K,413285.714,366428.571,8154571.429
322,E00023757,11.0,£276K - £300K,466600.0,374000.0,10394800.0
323,E00023758,26.0,£2m - £3m,3208400.0,2555600.0,75761200.0
324,E00023759,29.0,£5m+,6002428.571,4510428.571,80007857.143
325,E00023760,15.0,£376K - £400K,422666.667,401666.667,14885666.667
326,E00023761,23.0,£1m - £1.25m,1011750.0,886000.0,39003250.0
327,E00023762,15.0,£376K - £400K,394000.0,362666.667,12125166.667
328,E00023763,17.0,£451K - £500K,420250.0,395500.0,19148250.0
329,E00023764,18.0,£501K - £600K,884900.0,755500.0,15405000.0
330,E00023765,18.0,£501K - £600K,677583.333,634416.667,14975916.667
331,E00023766,24.0,£1.25m - £1.5m,1297000.0,1195000.0,89143000.0
332,E00023767,23.0,£1m - £1.25m,943500.0,892750.0,30287500.0
333,E00023768,23.0,£1m - £1.25m,1238000.0,1004000.0,94088000.0
334,E00023769,26.0,£2m - £3m,2079333.333,1795666.667,97372000.0
335,E00023770,26.0,£2m - £3m,2247000.0,2095000.0,155043000.0
336,E00023771,26.0,£2m - £3m,2368000.0,2190000.0,198912000.0
337,E00023772,26.0,£2m - £3m,2134000.0,1678000.0,249678000.0
338,E00023773,19.0,£1m - £1.25m,977500.0,843500.0,13390500.0
339,E00023774,17.0,£451K - £500K,663800.0,607800.0,18004000.0
340,E00023775,23.0,£1m - £1.25m,1195500.0,1072000.0,55068000.0
341,E00023776,23.0,£1.5m - £2m,1474000.0,1345500.0,66060500.0
342,E00023777,19.0,£601K - £700K,737000.0,727250.0,26669250.0
343,E00023778,22.0,£1.25m - £1.5m,1128000.0,1071500.0,57096000.0
344,E00023779,23.0,£1m - £1.25m,1004166.667,979166.667,25084666.667
345,E00023780,19.0,£601K - £700K,686666.667,650000.0,30497333.333
346,E00023781,22.0,£900K - £1m,953666.667,944333.333,38146666.667
347,E00023782,23.0,£1m - £1.25m,1201333.333,1177333.333,53178000.0
348,E00023783,21.0,£800K - £900K,796750.0,730500.0,32010250.0
349,E00023784,20.0,£701k - £800K,825666.667,816333.333,33258000.0
